qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,0.986,0.01,0.9819,0.01,0.9909,0.0,1.0,0.0,0.991,0.0,0.9599,0.03,0.9909,0.0
6,DecisionTree,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,LogisticRegression,0.9924,0.01,1.0,0.0,0.9951,0.0,1.0,0.0,0.9829,0.01,0.9775,0.02,0.9826,0.01
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,KNN,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,MLP,0.7653,0.04,1.0,0.0,0.8664,0.03,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,Adaboost,0.9994,0.0,0.9992,0.0,0.9996,0.0,1.0,0.0,0.9996,0.0,0.9984,0.0,0.9996,0.0
6,Catboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,GradientBoosting,0.9994,0.0,0.9992,0.0,0.9996,0.0,1.0,0.0,0.9996,0.0,0.9984,0.0,0.9996,0.0
